"brand","type","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"VUSE","Closed pod",0,0,0.476013610555481,6.26784729766527,0,0,2.98358062257206,2.98358062257206,2013-01-01,2023-12-01
"BLU","Closed pod",0.380152255244767,5,0.00714740019380425,3.05408298302683,-0.73974474252152,-1.86502427525481,0.725836494857279,-1.87893252291905,2013-01-01,2023-12-01
"BREEZE","Disposable",0,0,0.0807060172797389,6,0,0,0.484236103678433,0.484236103678433,2013-01-01,2023-12-01
"JUUL","Closed pod",0,0,0.165987295754368,2.69203761647939,0,0,0.446844044028448,0.446844044028448,2013-01-01,2023-12-01
"FINITI","Closed pod",0.0940703229360059,4.4293587675086,0,0,-0.416671209658963,-0.416671209658963,0.416671209658963,-0.416671209658963,2013-01-01,2023-12-01
"NJOY","Closed pod",0.028828738757185,3.35106110373425,0.110790528737016,3.79999078294089,0.0129420764421952,0.274658966393849,0.0367950800828482,0.324396122918892,2013-01-01,2023-12-01
"21ST CENTURY SMOKE","Closed pod",0.0831758171764453,2.5845675917242,4.18938514026296e-06,1.6,-0.0818922140071047,-0.214962693740354,0.0818880892742663,-0.214966818473193,2013-01-01,2023-12-01
"HYPPE","Disposable",0,0,0.0345376183920419,6.00031651507427,0,0,0.207236642029102,0.207236642029102,2013-01-01,2023-12-01
"BLU","Disposable",0.197809995713043,1,0.00206988355500398,1.66183865152905,0.130918300821687,-0.195740112158039,-0.129548371880821,-0.194370183217173,2013-01-01,2023-12-01
"FINITI","Open refill",0.108019122320343,1.75,0,0,-0.1890334640606,-0.1890334640606,0.1890334640606,-0.1890334640606,2013-01-01,2023-12-01
"MISTIC","Closed pod",0.0391736939559102,4.76989936740327,0,0,-0.186854578019145,-0.186854578019145,0.186854578019145,-0.186854578019145,2013-01-01,2023-12-01
"SHENZEN HQD TECHNOLOGY","Disposable",0,0,0.012431411271445,14.7963677722723,0,0,0.183939733100671,0.183939733100671,2013-01-01,2023-12-01
"JUICY BAR","Disposable",0,0,0.00769105652609463,13,0,0,0.0999837348392301,0.0999837348392301,2013-01-01,2023-12-01
"MADURO DISTRIBUTORS","Disposable",0,0,0.0120203605841281,6.5,0,0,0.0781323437968326,0.0781323437968326,2013-01-01,2023-12-01
"NICOTEK","Closed pod",0.0257200139055296,2.82171392762024,0,0,-0.0725745214558192,-0.0725745214558192,0.0725745214558192,-0.0725745214558192,2013-01-01,2023-12-01
"NJOY","Disposable",0.0305091559798707,2.86649467743216,0.0195204858824541,1.2272077575199,-0.0500132603353649,-0.0314989643463026,0.018013583157926,-0.0634986415237416,2013-01-01,2023-12-01
"VUSE","Disposable",0,0,0.0349933645820457,1.80002691816177,0,0,0.0629889982047309,0.0629889982047309,2013-01-01,2023-12-01
"STAGBAR","Disposable",0,0,0.00409996795117547,13,0,0,0.0532995833652811,0.0532995833652811,2013-01-01,2023-12-01
"PALAX","Disposable",0,0,0.00279366529712723,18,0,0,0.0502859753482901,0.0502859753482901,2013-01-01,2023-12-01
"LOGIC","Closed pod",0.000992857813931147,1.2,0.0125718080409579,2.67859090951698,0.00146803053812149,0.0138947402724322,0.0171205305474313,0.032483301357985,2013-01-01,2023-12-01
"UNKNOWN","Disposable",0,0,0.00190443557153501,9.1088817089728,0,0,0.0173472783434724,0.0173472783434724,2013-01-01,2023-12-01
"MISTIC","Disposable",0.00574701078376337,2.5,0,0,-0.0143675269594084,-0.0143675269594084,0.0143675269594084,-0.0143675269594084,2013-01-01,2023-12-01
"SAVAGE","Disposable",0,0,0.000768883091523886,12.5555933934957,0,0,0.00965378346430782,0.00965378346430782,2013-01-01,2023-12-01
"ESCO BARS","Disposable",0,0,0.00136594555564817,5.99975822094415,0,0,0.00819534307686222,0.00819534307686222,2013-01-01,2023-12-01
"AVATA","Disposable",0,0,0.000679465902436399,12,0,0,0.00815359082923678,0.00815359082923678,2013-01-01,2023-12-01
"ZEO","Disposable",0,0,0.0018965477448257,3.13441479998612,0,0,0.00594456732026198,0.00594456732026198,2013-01-01,2023-12-01
"BIDI","Disposable",0,0,0.00303484296292136,1.87213431573822,0,0,0.00568163365376173,0.00568163365376173,2013-01-01,2023-12-01
"LEAP","Closed pod",0,0,0.00156088962524774,2.86738186850631,0,0,0.00447566661017497,0.00447566661017497,2013-01-01,2023-12-01
"JUICY","Disposable",0,0,0.000338685604933134,13,0,0,0.00440291286413074,0.00440291286413074,2013-01-01,2023-12-01
"NICOTEK","Open refill",0.00388909605010502,1,0,0,-0.00388909605010502,-0.00388909605010502,0.00388909605010502,-0.00388909605010502,2013-01-01,2023-12-01
