"brand","type","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"21ST CENTURY SMOKE","Disposable",7.38899311804476e-05,10.88,0,0,-0.00080392245124327,-0.00080392245124327,0.00080392245124327,-0.00080392245124327,2013-01-01,2023-12-01
"21ST CENTURY SMOKE","Refill",0.0744084346630331,10.8800000000019,4.25930488960845e-06,10.88,-1.41692598913983e-13,-0.809517427896743,1.41684488113345e-13,-0.809517427896743,2013-01-01,2023-12-01
"21ST CENTURY SMOKE","Starter Kit",0.013106545034213,10.8800000000023,0,0,-0.142599209972267,-0.142599209972267,0.142599209972267,-0.142599209972267,2013-01-01,2023-12-01
"BLU","Disposable",0.179299863176233,16.3199999999976,0.00157048557476531,15.6963295194527,-0.111824031828751,-2.90054344245552,0.110844566335648,-2.90152290794862,2013-01-01,2023-12-01
"BLU","Refill",0.39974877423399,10.880000000002,0.000107728649242087,18.8622966425121,3.19091329841549,-4.34809457596287,-3.19005337638035,-4.34723465392772,2013-01-01,2023-12-01
"BLU","Starter Kit",0.0291674133513163,16.3200000000005,0,0,-0.476012185893497,-0.476012185893497,0.476012185893497,-0.476012185893497,2013-01-01,2023-12-01
"CIG2O","Refill",2.12327388449562e-05,12.24,0,0,-0.000259888723462264,-0.000259888723462264,0.000259888723462264,-0.000259888723462264,2013-01-01,2023-12-01
"CIG2O","Starter Kit",8.49309553798248e-06,12.92,0,0,-0.000109730794350734,-0.000109730794350734,0.000109730794350734,-0.000109730794350734,2013-01-01,2023-12-01
"FINITI","Disposable",0.110005404439795,9.68059809043823,0,0,-1.06491810815777,-1.06491810815777,1.06491810815777,-1.06491810815777,2013-01-01,2023-12-01
"FINITI","Refill",0.0704509352455262,9.68314644217071,0,0,-0.682186722970316,-0.682186722970316,0.682186722970316,-0.682186722970316,2013-01-01,2023-12-01
"MISTIC","Refill",0.0378615121503644,10.4370053276007,0,0,-0.395160804024372,-0.395160804024372,0.395160804024372,-0.395160804024372,2013-01-01,2023-12-01
"MISTIC","Starter Kit",0.00342271750180694,12.2400000000002,0,0,-0.0418940622221177,-0.0418940622221177,0.0418940622221177,-0.0418940622221177,2013-01-01,2023-12-01
"NICOTEK","Disposable",0.00409862635503805,12.24,0,0,-0.0501671865856658,-0.0501671865856658,0.0501671865856658,-0.0501671865856658,2013-01-01,2023-12-01
"NICOTEK","Refill",0.0222731430483591,11.7320419447088,0,0,-0.261309448483848,-0.261309448483848,0.261309448483848,-0.261309448483848,2013-01-01,2023-12-01
"NICOTEK","Starter Kit",0.00483257136111203,11.114235500879,0,0,-0.0537103361822024,-0.0537103361822024,0.0537103361822024,-0.0537103361822024,2013-01-01,2023-12-01
"NJOY","Disposable",0.0464289222743042,24.1595396341459,0.0148370223763954,36.4007867587597,0.568347911289246,-0.763245757701497,-0.386724253786365,-0.581622100198615,2013-01-01,2023-12-01
"NJOY","Refill",0.00479152139934512,13.2283604135892,0.106253844326387,28.3940537745302,0.0726667442748552,1.34218017607889,1.5387464772003,2.95359339755404,2013-01-01,2023-12-01
"AVATA","UNKNOWN",0,0,0.000600561989434791,17,0,0,0.0102095538203915,0.0102095538203915,2013-01-01,2023-12-01
"BLU","UNKNOWN",0,0,0.000627315748272644,17.3525957988542,0,0,0.010885556618031,0.010885556618031,2013-01-01,2023-12-01
"BREEZE","UNKNOWN",0,0,0.0820529797360285,34,0,0,2.78980131102497,2.78980131102497,2013-01-01,2023-12-01
"ESCO BARS","UNKNOWN",0,0,0.000930335143275864,17.0010373308185,0,0,0.0158166625010054,0.0158166625010054,2013-01-01,2023-12-01
"FUME","UNKNOWN",0,0,3.51392653392697e-05,8.5,0,0,0.000298683755383792,0.000298683755383792,2013-01-01,2023-12-01
"GLAS","Refill",0,0,0.000439939608949328,44.4231692005138,0,0,0.0195435116863638,0.0195435116863638,2013-01-01,2023-12-01
"GLAS","UNKNOWN",0,0,3.60776434477616e-05,50.2153846153845,0,0,0.00181165274174606,0.00181165274174606,2013-01-01,2023-12-01
"HYDE","UNKNOWN",0,0,4.25930488960845e-07,17,0,0,7.24081831233436e-06,7.24081831233436e-06,2013-01-01,2023-12-01
"HYPPE","UNKNOWN",0,0,0.0351123119255151,33.9996133397777,0,0,1.19380502893318,1.19380502893318,2013-01-01,2023-12-01
"IGNITE","UNKNOWN",0,0,0.000717839287504613,20.9178394615339,0,0,0.0150156469752034,0.0150156469752034,2013-01-01,2023-12-01
"IMIRACLE","UNKNOWN",0,0,0.000167976336583933,14.4944532488114,0,0,0.00243472515752243,0.00243472515752243,2013-01-01,2023-12-01
"JUICY BAR","UNKNOWN",0,0,0.00728301205139704,7.84615384615385,0,0,0.0571436330186537,0.0571436330186537,2013-01-01,2023-12-01
"JUUL","Refill",0,0,0.168756826111673,31.4643629293006,0,0,5.30982602357454,5.30982602357454,2013-01-01,2023-12-01
"JUUL","Starter Kit",0,0,6.61303404052386e-07,33.5322726990944,0,0,2.2175006081524e-05,2.2175006081524e-05,2013-01-01,2023-12-01
"LEAP","Disposable",0,0,5.98964750101188e-07,34,0,0,2.03648015034404e-05,2.03648015034404e-05,2013-01-01,2023-12-01
"LEAP","Refill",0,0,0.000911225039820607,21.7599999999999,0,0,0.0198282568664963,0.0198282568664963,2013-01-01,2023-12-01
"LEAP","UNKNOWN",0,0,0.000478572835330849,21.7599999999998,0,0,0.0104137448967992,0.0104137448967992,2013-01-01,2023-12-01
"LOGIC","Refill",0,0,0.0127174192290651,14.023150017531,0,0,0.178338277685013,0.178338277685013,2013-01-01,2023-12-01
"LOGIC","Starter Kit",0,0,0.000224092678504522,18.3599999999999,0,0,0.00411434157734301,0.00411434157734301,2013-01-01,2023-12-01
"MADURO DISTRIBUTORS","UNKNOWN",0,0,0.0122209772786896,33.2180971129681,0,0,0.405957610058887,0.405957610058887,2013-01-01,2023-12-01
"MNGO","UNKNOWN",0,0,0.00230154201775592,40.8000000000004,0,0,0.0939029143244424,0.0939029143244424,2013-01-01,2023-12-01
"NJOY","UNKNOWN",0,0,0.0113948717850206,24.7157263963982,0,0,0.281632533360607,0.281632533360607,2013-01-01,2023-12-01
